1,female,Michelle,C,Bargo,Jacksonville,FL,261-68-0688
2,male,Jimmy,H,Nelson,Baltimore,MD,213-51-8629
3,male,Lee,J,Noble,Santa Fe Springs,CA,603-36-7450
4,male,Harold,C,Samaniego,Blanchard,LA,660-10-0794
5,female,Christina,H,Haviland,Cincinnati,OH,289-84-4524
6,male,Jim,R,Cochran,Stillwater,OK,440-36-6205
7,male,Sheldon,C,Graham,Seattle,WA,536-04-0187
8,male,Manuel,J,Lincoln,Severna Park,MD,215-30-5179
9,male,Richard,R,Ruiz,Chicago,IL,344-18-1788
10,female,Celeste,T,Maggio,White Plains,CT,047-54-3111
11,female,Michelle,E,Donner,Worcester,MA,029-82-8011
12,female,Rebecca,P,Hope,Bakersfield,CA,553-57-0999
13,female,Bonita,J,Baker,Atlanta,GA,667-01-5941
14,male,Bryan,C,Harvey,Stillwater,OK,440-60-3643
15,female,Joyce,M,Bigelow,Fort Myers,FL,768-42-2409
16,female,Joyce,J,Holman,Flora,IL,328-86-4768
17,female,Jacqueline,J,Kennedy,Freeport,NY,123-30-5078
18,male,John,M,Haas,Asheville,NC,686-03-7136
19,male,James,E,Zacharias,Tukwila,WA,535-41-4624
20,female,Irene,T,Benjamin,Auburn Hills,MI,382-24-7077
21,male,Marty,M,Rivers,Los Angeles,CA,565-18-1166
22,female,Tiny,S,Pedraza,Gardena,CA,554-22-2144
23,male,Pedro,E,Kirby,Bloomburg,TX,632-58-1352
24,female,Marita,R,Begay,Clinton,PA,180-12-5047
25,male,Mitch,A,Collins,Frisco,TX,454-23-1854
26,female,Patricia,D,Cary,Mount Auburn,IL,335-50-7208
27,female,Elizabeth,M,Bressler,Parkton,MD,214-01-6740
28,male,Will,D,McInnis,Carlin,NV,530-72-7250
29,male,Donald,K,Brown,Carbondale,IL,342-26-9381
30,female,Edith,D,Hester,Mount Pleasant,MI,369-86-5852
31,male,Brian,D,Barrows,Indianapolis,IN,315-56-8941
32,female,Kathy,S,Vitale,Philadelphia,DE,221-32-3614
33,female,Karen,D,Bianco,Stockton,CA,613-16-4052
34,male,Rafael,A,Edmonds,Poughkeepsie,NY,127-34-1267
35,male,Ernest,M,Frances,Elizabethtown,KY,402-66-6825
36,male,Oscar,P,Constantine,Elizabethtown,IN,307-03-8885
37,female,Daryl,J,Mack,Johnson City,TN,412-82-9979
38,female,Elizabeth,G,Calhoun,Forks,WA,535-52-0647
39,male,Maurice,P,Miller,Baton Rouge,LA,662-09-3811
40,female,Thelma,J,Hernandez,Richmond,VA,225-20-9941
41,female,Sandra,M,Luong,Annapolis Junction,MD,220-38-5953
42,female,Maria,M,Hansen,Virginia,MN,475-88-5454
43,male,Matthew,A,Grigsby,San Francisco,CA,620-15-6084
44,male,Albert,E,Garza,Pasadena,CA,556-91-2478
45,male,Barry,D,Smart,Bristol,TN,763-01-7539
46,female,Ella,A,Agosto,Jackson,MS,428-13-8719
47,female,Maude,J,Morris,Ontario,CA,566-29-5620
48,female,Mary,R,Buffington,Modesto,IL,353-05-6360
49,male,Harold,G,Miller,Midway,GA,260-41-6021
50,female,Claudia,A,Kahn,Houston,TX,644-72-1407
51,female,Lois,R,Rose,Chicago,IL,358-01-0024
52,male,Frederick,S,Conkling,Sunnyvale,CA,621-26-4557
53,male,Harry,M,Richards,Los Angeles,CA,558-65-7508
54,male,Donald,L,McMahon,Huntingdon,PA,182-66-1291
55,male,Scott,K,Edwards,Omaha,NE,506-21-8016
56,female,Katherine,N,Foster,Marietta,GA,260-90-8013
57,male,Christopher,K,Toms,Topeka,KS,509-19-2776
58,male,John,L,Woods,Fresno,CA,616-29-2197
59,male,John,P,Steele,Huntington,NY,074-18-6050
60,male,Randall,B,Jacobs,Okolona,OH,287-28-7960
61,male,Robert,T,Hernandez,Los Angeles,CA,558-95-7101
62,female,Latasha,T,Anderson,Westminster,CO,522-16-9514
63,male,Richard,T,Smith,Overland Park,KS,513-28-3513
64,female,Alicia,R,Egan,Frederick,MD,216-03-4619
